유형,논문 ID,저자명,주저자 소속기관,논문명,논문영어명,학술지명,저자키워드,참고문헌 수,인용된 총 횟수,발행기관명,발행연도,발행일,권,호,특별호,시작 페이지,끝 페이지,논문번호,DOI,주제분야,URL,KCI 등재 구분,반출일,논문명_원본,기관_부모,발행월,발행호,발행순서,주저자_소속_게재시점,기관_부모_보정,소속_판정
J,ART002376724,김지영,동국대학교,『大般涅槃經後分』 연구,A Study on Daebanyulbangyunghubun(大般涅槃經後分),인도철학,"涅槃相, 법신, 신통력, 자비, 사리신앙, 붓다신앙",30.0,2.0,인도철학회,2018,Aug. 31.,,53.0,,131.0,162.0,,10.32761/kjip.2018..53.005,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002376724,등재,2026-04-13,『大般涅槃經後分』 연구,동국대학교,8,제53집,52,동국대학교,동국대학교,일치
J,ART002376735,구효정;정승석,동국대학교,불교의 유식설과 결별한 쉬바교 재인식학파의 자기인식,Self-awareness of Śaiva Pratyabhijñā Departed from Buddhist Yogācāra Doctrine,인도철학,"재인식학파, 쉬바파 일원론, 유식학파, 관념론, 자기인식, 자의식, 반조(返照)",27.0,1.0,인도철학회,2018,Aug. 31.,,53.0,,257.0,287.0,,10.32761/kjip.2018..53.009,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002376735,등재,2026-04-13,불교의 유식설과 결별한 쉬바교 재인식학파의 자기인식,동국대학교,8,제53집,52,동국대학교,동국대학교,일치
J,ART002376740,박청환,동국대학교,에띠엔 라모뜨의 『대지도론』 번역과 주석에 대한 소고 (II)__제1권 2장과 3장을 중심으로,A Consideration on the Étienne Lamotte’s Annotated Translation of the 『大智度論』 (Mahāprajñāpāramitāśāstra) (Ⅱ),인도철학,"대지도론, 에띠엔 라모뜨, 나가르쥬나, 구마라집, 여시아문",32.0,1.0,인도철학회,2018,Aug. 31.,,53.0,,289.0,325.0,,10.32761/kjip.2018..53.010,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002376740,등재,2026-04-13,에띠엔 라모뜨의 『대지도론』 번역과 주석에 대한 소고 (II)__제1권 2장과 3장을 중심으로__,동국대학교,8,제53집,52,동국대학교,동국대학교,일치
J,ART002341763,박금표,한국외국어대학교,인도 신여성의 근대적 정체성: 간디와 사리(Sari),Modern Identity of New Women in India: Gandhi and Sari,인도철학,"간디, 시따, 캇다르 사리, 신여성, 여성상, 여성 영역",38.0,3.0,인도철학회,2018,Apr. 30.,,52.0,,169.0,207.0,,10.32761/kjip.2018..52.006,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002341763,등재,2026-04-13,인도 신여성의 근대적 정체성: 간디와 사리(Sari),한국외국어대학교,4,제52집,51,한국외국어대학교,한국외국어대학교,일치
J,ART002341761,성청환,동국대학교,불교인식논리학에서 유사지각과 자증지 해석에 관한 지각 논쟁,Debate on Perception between Sued-Perception and Self-Awareness in the Buddhist Pramāṇa School,인도철학,"디그나가, 다르마키르티, 프랑코, 야오, 불교인식논리학, 유사지각, 자증지",29.0,0.0,인도철학회,2018,Apr. 30.,,52.0,,111.0,139.0,,10.32761/kjip.2018..52.004,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002341761,등재,2026-04-13,불교인식논리학에서 유사지각과 자증지 해석에 관한 지각 논쟁,동국대학교,4,제52집,51,동국대학교,동국대학교,일치
J,ART002299186,임승택,경북대학교,무아에 대한 형이상학적 해석의 양상들__니까야(Nikāya)에 나타나는 ‘실천적 무아’와 비교를 위한 시론,On the Metaphysical Interpretations of Selflessness (Anattan),인도철학,"형이상학적 무아, 실천적 무아, 윤회 부정의 무아, 비아와 교체 가능한 무아, 윤회와 공존하는 무아",37.0,14.0,인도철학회,2017,Dec. 31.,,51.0,,101.0,138.0,,10.32761/kjip.2017..51.004,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002299186,등재,2026-04-13,무아에 대한 형이상학적 해석의 양상들__니까야(Nikāya)에 나타나는 ‘실천적 무아’와 비교를 위한 시론__,경북대학교,12,제51집,50,경북대학교,경북대학교,일치
J,ART002299230,조석효,고려대학교,"Time Measurement in Tibet: A Critical Introduction to the Works on Kālacakra Astronomy by Dieter Schuh, Premier Scholar in Contemporary German Tibetology","Time Measurement in Tibet: A Critical Introduction to the Works on Kālacakra Astronomy by Dieter Schuh, Premier Scholar in Contemporary German Tibetology",인도철학,"Dieter Schuh, Kālacakratantra, Indo-Tibetan astronomy, manuscripts and xylographs, a critical investigation",39.0,0.0,인도철학회,2017,Dec. 31.,,51.0,,213.0,247.0,,10.32761/kjip.2017..51.007,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002299230,등재,2026-04-13,"Time Measurement in Tibet: A Critical Introduction to the Works on Kālacakra Astronomy by Dieter Schuh, Premier Scholar in Contemporary German Tibetology",고려대학교,12,제51집,50,고려대학교,고려대학교,일치
J,ART002252812,김재민;김동환,동국대학교,스와라 호흡(svara prāṇāyāma)과 스트레스의 상관성에 대한 연구,A Study on the Correlation between Svara Prāṇāyāma and Stress,인도철학,"스와라 호흡, 자율신경계, 교감․부교감신경, 이다․핑갈라 나디, 스트레스, 심장박동변이도(HRV)",21.0,2.0,인도철학회,2017,Aug. 31.,,50.0,,79.0,106.0,,10.32761/kjip.2017..50.003,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002252812,등재,2026-04-13,스와라 호흡(svara prāṇāyāma)과 스트레스의 상관성에 대한 연구,동국대학교,8,제50집,49,동국대학교,동국대학교,일치
J,ART002252822,남수영,동국대학교,유식학파의 중도 개념 재검토__『중변분별론』을 중심으로,A Re-examination on the Middle Way Conception of Vijñānavāda: Centering on the Madhyantavibhagabhasya,인도철학,"유식학파, 중관학파, 중도 개념, 비유비무, 비공비불공, 허망분별, 공성, 소취-능취",23.0,2.0,인도철학회,2017,Aug. 31.,,50.0,,303.0,336.0,,10.32761/kjip.2017..50.009,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002252822,등재,2026-04-13,유식학파의 중도 개념 재검토__『중변분별론』을 중심으로__,동국대학교,8,제50집,49,동국대학교,동국대학교,일치
J,ART002252816,김호성,동국대학교,『카타 우파니샤드』의 행복치유론에 대하여__베단타적 해석을 중심으로,Theory of Happiness and Healing in Kaṭha Upaniṣad: Focused on Vedāntic Interpretation,인도철학,"행복, 치유, 아트만, 아난다, 수카, 다르마",28.0,1.0,인도철학회,2017,Aug. 31.,,50.0,,191.0,229.0,,10.32761/kjip.2017..50.006,철학,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002252816,등재,2026-04-13,『카타 우파니샤드』의 행복치유론에 대하여__베단타적 해석을 중심으로__,동국대학교,8,제50집,49,동국대학교,동국대학교,일치
