논문ID,발행연도,저자_원본,canonical_id
ART001223983,2008,이필원,
ART001223982,2008,권기현,
ART001223986,2008,김재민,kim_jaemin
ART001223979,2008,박효엽,park_hyoyeop
ART001077006,2007,정승석,jeong_seungseok
ART001077697,2007,강성용,kang_seongyong
ART001077467,2007,김호성,kim_hosung
ART001077695,2007,원혜영,
ART001077696,2007,황순일,hwang_soonil
ART001077210,2007,박효엽,park_hyoyeop
ART001056243,2007,정승석,jeong_seungseok
ART001056244,2007,신성현,
ART001056476,2007,안필섭,
ART001172791,2006,안성두,ahn_seongdu
ART001172742,2006,허인섭,
ART001172789,2006,김진영,
ART001172792,2006,이태승,lee_taeseung
ART001172790,2006,이호근,
ART001172793,2006,원혜영,
ART001172794,2006,서은숙,
ART001172737,2006,우제선,
ART000995881,2006,이법산,
ART000995880,2006,문을식,
ART001172677,2005,안성두,ahn_seongdu
ART000995883,2005,이영진,
ART001172676,2005,김재천,
ART000995884,2005,원혜영,
ART001172736,2005,황정일,
ART001172674,2005,안성두,ahn_seongdu
ART000996302,2005,변순미,
ART000996304,2005,안병남,
ART000996303,2005,황순일,hwang_soonil
ART000989593,2005,서병진,
ART000989594,2005,서행정,
ART001172617,2004,문을식,
ART001172672,2004,박효엽,park_hyoyeop
ART000978562,2004,황용식,
ART000939934,2004,김선근,kim_seonkun
ART000939681,2004,조준호,
ART000939686,2004,정승석,jeong_seungseok
ART000939682,2004,강성용,kang_seongyong
ART000940370,2004,임승택,im_seungtaek
ART000939683,2004,황순일,hwang_soonil
ART000940369,2004,황정일,
ART000939680,2004,이지수,lee_jisoo
ART000939684,2004,김경춘,
ART000939685,2004,김진영,
ART002950990,2003,김미숙,
ART002950994,2003,심재관,
ART002954543,2002,이현옥,
ART002954515,2002,이지수,lee_jisoo
ART002954546,2002,엄혜용,
ART002954520,2002,이거룡,
ART002954564,2002,Augustine Thottakara,
ART002954602,2002,Kamalākar Mishra,
ART002954616,2002,서성원,
ART002954641,2002,이태승,lee_taeseung
ART002954623,2002,김순금,
ART002954652,2002,이거룡,
ART002954657,2002,이자랑,
ART002954661,2002,백도수,
ART002954666,2002,이동우,
ART002951623,2001,임승택,im_seungtaek
ART002951616,2001,김호성,kim_hosung
ART002951619,2001,심재관,
ART002951621,2001,안양규,
ART002951608,2000,김호성,kim_hosung
ART002951607,2000,김삼묵,
ART002951605,2000,안양규,
ART002951610,2000,박영길,park_yeonggil
ART002951611,2000,이태승,lee_taeseung
ART002951613,2000,이지수,lee_jisoo
ART002951324,1999,이지수,lee_jisoo
ART002951323,1999,김선근,kim_seonkun
ART002951328,1999,정승석,jeong_seungseok
ART002951329,1999,이호근,
ART002951331,1999,홍성기,
ART002951318,1998,주명철,
ART002951316,1998,김선근,kim_seonkun
ART002951319,1998,김호성,kim_hosung
ART002951321,1998,정성준,
ART002951283,1997,김호성,kim_hosung
ART002951284,1997,이지수,lee_jisoo
ART002951290,1997,이태승,lee_taeseung
ART002951278,1997,권영택,
ART002951282,1997,김선근,kim_seonkun
ART002951285,1997,정승석,jeong_seungseok
ART002951286,1997,김형준,
ART002951287,1997,남수영,nam_sooyoung
ART002951288,1997,류경희,
ART002951289,1997,최경아,
ART002951205,1996,서성원,
ART002951214,1996,서행정,
ART002951270,1996,서종순,
ART002951276,1996,정승석,jeong_seungseok
ART002951086,1995,남수영,nam_sooyoung
ART002951087,1995,박인성,
ART002951084,1995,김성철,kim_seongchul
ART002951081,1994,정승석,jeong_seungseok
ART002951071,1994,김선근,kim_seonkun
ART002951073,1994,이호근,
ART002951074,1994,주명철,
ART002951078,1994,이거룡,
ART002951080,1994,이법산,
ART002951082,1994,윤종갑,
ART002953670,1993,서성원,
ART002953682,1993,주명철,
ART002953713,1993,이지수,lee_jisoo
ART002953686,1993,문을식,
ART002953582,1992,서행정,
ART002953595,1992,이호근,
ART002953597,1992,전재성,jeon_jaeseong
ART002953600,1992,문을식,
ART002953601,1992,김호성,kim_hosung
ART002953608,1992,정승석,jeong_seungseok
ART002953538,1989,길희성,
ART002953537,1989,서성원,
ART002953571,1989,곽만연,
ART002953572,1989,허우성,
ART002953544,1989,이법산,
ART002953576,1989,정승석,jeong_seungseok
ART002950193,1989,김하우,
ART002796792,2021,박효엽,park_hyoyeop
ART002796794,2021,김선희,
ART002796796,2021,상연진,
ART002796796,2021,김민영,
ART002796807,2021,류범선,
ART002796807,2021,정승석,jeong_seungseok
ART002750170,2021,류현정,ryu_hyeonjeong
ART002750194,2021,하영수,
ART002750219,2021,김영미,
ART002711226,2021,이태승,lee_taeseung
ART002665373,2020,양영순,yang_yeongsoon
ART002665314,2020,방정란,
ART002618545,2020,류현정,ryu_hyeonjeong
ART002618629,2020,박효엽,park_hyoyeop
ART002618744,2020,이태승,lee_taeseung
ART002582660,2020,김성옥,kim_seongok
ART002582689,2020,박영길,park_yeonggil
ART002582656,2020,고대석,
ART002582656,2020,정승석,jeong_seungseok
ART002582698,2020,정상교,
ART002582703,2020,남승호,
ART002541097,2019,박기열,park_giyeol
ART002541079,2019,권오민,kwon_omin
ART002541120,2019,방정란,
ART002540984,2019,박문성,
ART002541037,2019,박수영,
ART002496260,2019,안성두,ahn_seongdu
ART002496290,2019,류현정,ryu_hyeonjeong
ART002496286,2019,양영순,yang_yeongsoon
ART002496280,2019,조석효,
ART002496269,2019,남승호,
ART002461317,2019,이지은,
ART002461288,2019,심준보,shim_junbo
ART002461300,2019,김재민,kim_jaemin
ART002461329,2019,박금표,
ART002461239,2019,김서리,
ART002421581,2018,성청환,
ART002421562,2018,방정란,
ART002421545,2018,박문성,
ART002421680,2018,이동원,
ART002376720,2018,류현정,ryu_hyeonjeong
ART002376726,2018,윤종갑,
ART002376692,2018,김진영,
ART002341758,2018,안성두,ahn_seongdu
ART002341764,2018,박재은,
ART002341760,2018,박기열,park_giyeol
ART002341762,2018,권서용,
ART002299137,2017,이거룡,
ART002299164,2017,김재민,kim_jaemin
ART002299191,2017,김서리,
ART002299205,2017,안성두,ahn_seongdu
ART002252813,2017,박금표,
ART002252818,2017,강형철,kang_hyeongchul
ART002252798,2017,심재관,
ART002220279,2017,권오민,kwon_omin
ART002220283,2017,이규완,
ART002220277,2017,박효엽,park_hyoyeop
ART002220280,2017,김성철,kim_seongchul
ART002220281,2017,김서리,
ART002220282,2017,정상교,
ART002182074,2016,이영진,
ART002182075,2016,함형석,
ART002182311,2016,양영순,yang_yeongsoon
ART002182066,2016,정승석,jeong_seungseok
ART002182068,2016,박효엽,park_hyoyeop
ART002138532,2016,심준보,shim_junbo
ART002138525,2016,강형철,kang_hyeongchul
ART002138531,2016,김현덕,
ART002138527,2016,안필섭,
ART002104090,2016,김재민,kim_jaemin
ART002104108,2016,우명주,
ART002104135,2016,김태수,
ART002104130,2016,성청환,
ART002065654,2015,박재용,
ART002065649,2015,박기열,park_giyeol
ART002065645,2015,김경희,
ART002065665,2015,정승석,jeong_seungseok
ART002065637,2015,박문성,
ART002022132,2015,이필원,
ART002022165,2015,김태수,
ART002022096,2015,조은수,
ART001987497,2015,김재권,kim_jaegwon
ART001987498,2015,강형철,kang_hyeongchul
ART001987249,2015,박기열,park_giyeol
ART001987500,2015,백도수,
ART001946204,2014,안성두,ahn_seongdu
ART001946105,2014,김현덕,
ART001946042,2014,황용식,
ART001946179,2014,박수영,
ART001946313,2014,박영란,
ART001911164,2014,안성두,ahn_seongdu
ART001911235,2014,류현정,ryu_hyeonjeong
ART001911165,2014,박기열,park_giyeol
ART001911158,2014,이태승,lee_taeseung
ART001911161,2014,김현덕,
ART001911062,2014,이영일,
ART001911062,2014,정승석,jeong_seungseok
ART001911163,2014,김호성,kim_hosung
ART001911166,2014,김성옥,kim_seongok
ART001871424,2014,권오민,kwon_omin
ART001871670,2014,박기열,park_giyeol
ART001871673,2014,석길암,
ART001871674,2014,안환기,
ART001871675,2014,정승석,jeong_seungseok
ART001830626,2013,김미숙,
ART001830611,2013,김한상,
ART001830615,2013,김성옥,kim_seongok
ART001830073,2013,김현덕,
ART001830621,2013,김홍미,
ART001830631,2013,박인성,
ART001830637,2013,차유만,
ART001830637,2013,정승석,jeong_seungseok
ART001830128,2013,박영길,park_yeonggil
ART001830136,2013,최지연,
ART001830200,2013,강대공,
ART001801184,2013,이자랑,
ART001801196,2013,강형철,kang_hyeongchul
ART001801200,2013,박효엽,park_hyoyeop
ART001764350,2013,김재권,kim_jaegwon
ART001764347,2013,김진영,
ART001764351,2013,김성철,kim_seongchul
ART001764352,2013,정성준,
ART001764348,2013,주명철,
ART001687660,2012,김홍미,
ART001687663,2012,이태승,lee_taeseung
ART001687658,2012,김호성,kim_hosung
ART001658563,2012,한지연,
ART001658520,2012,권서용,
ART001658545,2012,정진일,
ART001658554,2012,윤희조,
ART001618804,2011,강형철,kang_hyeongchul
ART001618771,2011,임주영,
ART001618778,2011,성청환,
ART001618826,2011,서현희,
ART001618831,2011,김학주,
ART001618831,2011,임정원,
ART001618831,2011,신성현,
ART001580473,2011,이태승,lee_taeseung
ART001580484,2011,이자랑,
ART001580460,2011,정승석,jeong_seungseok
ART001580494,2011,원혜영,
ART001580434,2011,서종순,
ART001549228,2011,신성현,
ART001549235,2011,임승택,im_seungtaek
ART001549238,2011,황순일,hwang_soonil
ART001549230,2011,심재관,
ART001549241,2011,김진영,
ART001549233,2011,안양규,
ART001549239,2011,공만식,
ART001511036,2010,황순일,hwang_soonil
ART001511052,2010,김재민,kim_jaemin
ART001511038,2010,남수영,nam_sooyoung
ART001511048,2010,박효엽,park_hyoyeop
ART001476686,2010,김호성,kim_hosung
ART001476696,2010,윤희조,
ART001476690,2010,이법산,
ART001476684,2010,이거룡,
ART001476681,2010,최종남,
ART001424084,2010,박청환,
ART001371005,2009,김성철,kim_seongchul
ART001371039,2009,안성두,ahn_seongdu
ART001371061,2009,정준영,
ART001320768,2009,김호성,kim_hosung
ART001320774,2009,허남결,
ART001320780,2009,정승석,jeong_seungseok
ART001320775,2009,황순일,hwang_soonil
ART001320777,2009,김유미,
ART001320769,2009,이춘호,
ART001320772,2009,이법산,
ART001320778,2009,최연철,
ART001273058,2008,김재권,kim_jaegwon
ART001273072,2008,정승석,jeong_seungseok
ART001273071,2008,유흔우,
ART001273065,2008,박영길,park_yeonggil
ART001273067,2008,박정록,
ART001273062,2008,문을식,
ART001223981,2008,정승석,jeong_seungseok
ART001223980,2008,최지연,
ART001223984,2008,원혜영,
ART001223985,2008,심준보,shim_junbo
ART001077213,2007,안성두,ahn_seongdu
ART001077466,2007,장익,
ART001077211,2007,권서용,
ART001077007,2007,이지수,lee_jisoo
ART001056242,2007,이용현,
ART001056246,2007,변순미,
ART001056245,2007,황용식,
ART001057624,2007,정성준,
ART001057623,2007,김선근,kim_seonkun
ART001056475,2007,박문성,
ART001024478,2006,박청환,
ART001024479,2006,황순일,hwang_soonil
ART001024480,2006,정성준,
ART001172741,2006,김성철,kim_seongchul
ART001172739,2006,황용식,
ART001172738,2006,김미숙,
ART000995882,2006,김호성,kim_hosung
ART001172740,2006,정성준,
ART000995712,2006,황순일,hwang_soonil
ART000995885,2005,정승석,jeong_seungseok
ART000996301,2005,김선근,kim_seonkun
ART001172673,2005,최종남,
ART000939935,2004,정승석,jeong_seungseok
ART000939936,2004,이거룡,
ART000939937,2004,이은주,
ART000963016,2004,김호성,kim_hosung
ART000939938,2004,R.F.Gombrich,
ART000939939,2004,S.R.Bhatt,
ART000939940,2004,이지수,lee_jisoo
ART000939679,2004,김선근,kim_seonkun
ART002950987,2003,안성두,ahn_seongdu
ART002950984,2003,이지수,lee_jisoo
ART002950993,2003,백도수,
ART002950996,2003,황순일,hwang_soonil
ART002950995,2003,강종원,
ART002954537,2002,안성두,ahn_seongdu
ART002954608,2002,Lambert Schmithausen,schmithausen_lambert
ART002953722,2002,Mark Siderits,
ART002954518,2002,이호근,
ART002954550,2002,김성철,kim_seongchul
ART002950997,2002,김선근,kim_seonkun
ART002954620,2002,이지수,lee_jisoo
ART002954635,2002,이법산,
ART002954646,2002,박인성,
ART002954670,2002,김미숙,
ART002954675,2002,강신보,
ART002951615,2001,정승석,jeong_seungseok
ART002951618,2001,이은주,
ART002951620,2001,엄혜용,
ART002951606,2000,김성철,kim_seongchul
ART002951609,2000,정승석,jeong_seungseok
ART002951612,2000,이호근,
ART002951330,1999,김성철,kim_seongchul
ART002951332,1999,최종남,
ART002951333,1999,박영길,park_yeonggil
ART002951334,1999,김성철,kim_seongchul
ART002951320,1998,이태승,lee_taeseung
ART002951314,1998,서성원,
ART002951317,1998,이지수,lee_jisoo
ART002951313,1998,정태혁,jeong_taehyeok
ART002951322,1998,이재숙,
ART002951291,1997,심재관,
ART002951208,1996,김선근,kim_seonkun
ART002951215,1996,이태승,lee_taeseung
ART002951225,1996,김호성,kim_hosung
ART002951269,1996,심봉섭,
ART002951275,1996,김재천,
ART002951083,1995,정승석,jeong_seungseok
ART002951091,1995,이거룡,
ART002951085,1995,이현옥,
ART002951088,1995,이법산,
ART002951089,1995,김선근,kim_seonkun
ART002951090,1995,이지수,lee_jisoo
ART002951092,1995,임승택,im_seungtaek
ART002951093,1995,이태승,lee_taeseung
ART002951076,1994,김호성,kim_hosung
ART002951072,1994,이지수,lee_jisoo
ART002951075,1994,김재천,
ART002951077,1994,이은덕,
ART002951079,1994,서성원,
ART002953675,1993,이지수,lee_jisoo
ART002953678,1993,정승석,jeong_seungseok
ART002953691,1993,김성철,kim_seongchul
ART002953697,1993,이태승,lee_taeseung
ART002953705,1993,최종남,
ART002953708,1993,이지수,lee_jisoo
ART002953598,1992,이태영,
ART002953612,1992,이지수,lee_jisoo
ART002953616,1992,김상일,
ART002953539,1989,윤병식,
ART002953540,1989,김선근,kim_seonkun
ART002953566,1989,서행정,
ART002953574,1989,전치수,
ART002953569,1989,이지수,lee_jisoo
ART003334836,2026,권윤영,
ART003334842,2026,김진영,
ART003334843,2026,이지은,
ART003334845,2026,정성헌,
ART003334848,2026,최성호,
